name	sex	wikipedia_url	jsp_url	recording_url	birth_date	birth_date_md	best_birth_date	best_birth_year	best_birth_month	best_birth_day	death_date	death_date_md	best_death_date	best_death_year	best_death_month	best_death_day	date	date_md	best_date	best_year	best_month	best_day	tagline	tagline_md	office	outcome	outcome_md	for	alt_for	notes	notes_md	+notes	+notes_md	unit	unit_md	location	location_md	friendly_location	country	adm1	adm2	adm3	adm4	best_location	best_country	best_adm1	best_adm2	best_adm3	best_adm4	sections	tags	birth_place	birth_place_md	rebaptism_date	rebaptism_date_md	baptism_date	baptism_date_md
David Whitmer	male	https://en.wikipedia.org/wiki/David_Whitmer	https://www.josephsmithpapers.org/person/david-whitmer		7 Jan 1805	7 Jan 1805	7 Jan 1805	1805.0	Jan	7.0	25 Jan 1888	25 Jan 1888	25 Jan 1888	1888.0	Jan	25.0	13 Apr 1838	13 Apr 1838	13 Apr 1838	1838	Apr	13.0	Book of Mormon Witness, founding church member	Book of Mormon Witness, founding church member		resigned in response to church discipline	resigned in response to church discipline			"Withdrew his membership from the church in response to numerous charges: ""First, For not observing the word of wisdom, 2 for unchristian-like conduct in neglecting to attend to meetings, in uniting, with, and possessing the same spirit with the Dissenters, in writing letters to the Dissenters in Kirtland unfavorable to the cause and to Br Joseph Smith jr. 3nd For neglecting the duties of his calling. 4th, For seperating himself from the cause and the Church while he has a name among us. 5 For signing himself President of the Church of Christ in an insulting letter to the High Council."" Along with other dissenters, he was driven from Missouri a few months later, presumably by ""Danites"" inspired by Sidney Rigdon's ""Salt Sermon"". These removals added to Mormon-Missourian tensions that resulted in the 1838 Mormon War and ultimately the infamous Missouri Executive Order 44 ordering the Mormons ""treated as enemies"" and ""exterminated or driven from the state if necessary for the public peace."" David Whitmer maintained his belief in the Book of Mormon throughout his life. He never rejoined the LDS church."	"[Withdrew his membership from the church](https://www.josephsmithpapers.org/paper-summary/minute-book-2/136) in response to [numerous charges](https://www.josephsmithpapers.org/paper-summary/minute-book-2/135): ""First, For not observing the word of wisdom, 2 for unchristian-like conduct in neglecting to attend to meetings, in uniting, with, and possessing the same spirit with the Dissenters, in writing letters to the Dissenters in Kirtland unfavorable to the cause and to Br Joseph Smith jr. 3nd For neglecting the duties of his calling. 4th, For seperating himself from the cause and the Church while he has a name among us. 5 For signing himself President of the Church of Christ in an insulting letter to the High Council."" Along with other dissenters, [he was driven from Missouri a few months later](https://www.josephsmithpapers.org/person/david-whitmer), presumably by ""Danites"" inspired by Sidney Rigdon's ""Salt Sermon"". These removals added to Mormon-Missourian tensions that resulted in the 1838 Mormon War and ultimately the infamous [Missouri Executive Order 44](https://en.wikipedia.org/wiki/Missouri_Executive_Order_44) ordering the Mormons ""treated as enemies"" and ""exterminated or driven from the state if necessary for the public peace."" David Whitmer maintained his belief in the Book of Mormon throughout his life. He never rejoined the LDS church."					Far West, Caldwell, Missouri, United States	Far West, Caldwell, Missouri, United States	Far West, Missouri	United States	Missouri	Caldwell	Far West		Far West, Caldwell, Missouri, United States	United States	Missouri	Caldwell	Far West		['19th Century']							
William E. McLellin	male	https://en.wikipedia.org/wiki/William_E._McLellin	https://www.josephsmithpapers.org/person/william-earl-mclellin		18 Jan 1806	18 Jan 1806	18 Jan 1806	1806.0	Jan	18.0	24 Apr 1883	24 Apr 1883	24 Apr 1883	1883.0	Apr	24.0	11 May 1838	11 May 1838	11 May 1838	1838	May	11.0	Original member of the Quorum of the Twelve Apostles	Original member of the Quorum of the Twelve Apostles		excommunicated	excommunicated			Excommunicated because he expressed he had no confidence in the church's leaders, perhaps as a response to the failure of the Kirtland Safety Society.	[Excommunicated](https://www.josephsmithpapers.org/paper-summary/journal-march-september-1838/26) because he expressed he had no confidence in the church's leaders, perhaps as a response to the failure of the Kirtland Safety Society.																			['19th Century']							
Frederick G. Williams	male	https://en.wikipedia.org/wiki/Frederick_G._Williams	https://www.josephsmithpapers.org/person/frederick-granger-williams		28 Oct 1787	28 Oct 1787	28 Oct 1787	1787.0	Oct	28.0	10 Oct 1842	10 Oct 1842	10 Oct 1842	1842.0	Oct	10.0	by 5 Aug 1838	[by 5 Aug 1838](https://www.josephsmithpapers.org/person/frederick-granger-williams)	5 Aug 1838	1838	Aug	5.0	physician, publisher, first presidency member	physician, publisher, first presidency member		excommunicated?	excommunicated?			Probably excommunicated as he was rebaptized 5 Aug 1838.	[Probably excommunicated](https://www.josephsmithpapers.org/person/frederick-granger-williams) as he was rebaptized 5 Aug 1838.																							5 Aug 1838	[5 Aug 1838](https://www.josephsmithpapers.org/paper-summary/journal-march-september-1838/49)	Oct/Nov 1830	[Oct/Nov 1830](https://www.josephsmithpapers.org/person/frederick-granger-williams)
Joseph Coe	male	https://en.wikipedia.org/wiki/Joseph_Coe	https://www.josephsmithpapers.org/person/joseph-coe		12 Nov 1784	12 Nov 1784	12 Nov 1784	1784.0	Nov	12.0	17 Oct 1854	17 Oct 1854	17 Oct 1854	1854.0	Oct	17.0	Dec 1838	Dec 1838	Dec 1838	1838	Dec		Kirtland High Councilor, Book of Abraham Financier, Safety Society Dissenter	Kirtland High Councilor, Book of Abraham Financier, Safety Society Dissenter		excommunicated	excommunicated			Excommunicated following the collapse of the Kirtland Safety Society.	[Excommunicated](https://www.josephsmithpapers.org/person/joseph-coe) following the collapse of the Kirtland Safety Society.																			['19th Century']							
Sampson Avard	male	https://en.wikipedia.org/wiki/Sampson_Avard			23 Oct 1800	23 Oct 1800	23 Oct 1800	1800.0	Oct	23.0	15 Apr 1869	15 Apr 1869	15 Apr 1869	1869.0	Apr	15.0	17 Mar 1839	17 Mar 1839	17 Mar 1839	1839	Mar	17.0	Founding Danite who testified against Joseph Smith in court	Founding Danite who testified against Joseph Smith in court		excommunicated	excommunicated			Excommunicated by a conference of the church.	[Excommunicated by a conference of the church](https://archive.org/details/HistoryOfTheChurchhcVolumes1-7original1902EditionPdf/page/n667).					Quincy, Adams, Illinois, United States	Quincy, Adams, Illinois, United States	Quincy, Illinois	United States	Illinois	Adams	Quincy		Quincy, Adams, Illinois, United States	United States	Illinois	Adams	Quincy		['19th Century', 'Mass Excommunications at Quincy, Illinois Church Conference']							
George M. Hinkle	male	https://en.wikipedia.org/wiki/George_M._Hinkle			13 Nov 1801	13 Nov 1801	13 Nov 1801	1801.0	Nov	13.0	9 Nov 1861	9 Nov 1861	9 Nov 1861	1861.0	Nov	9.0	17 Mar 1839	17 Mar 1839	17 Mar 1839	1839	Mar	17.0	Militia leader who turned Joseph Smith over to the Missourians	Militia leader who turned Joseph Smith over to the Missourians		excommunicated	excommunicated			Excommunicated by a conference of the church. It was later shown that he turned the Mormon prophet over in bad faith, expecting him to be executed.	[Excommunicated by a conference of the church](https://archive.org/details/HistoryOfTheChurchhcVolumes1-7original1902EditionPdf/page/n667). It was later shown that [he turned the Mormon prophet over in bad faith](https://www.deseret.com/2010/2/14/20096307/speaker-says-militia-leader-betrayed-joseph-smith), expecting him to be executed.					Quincy, Adams, Illinois, United States	Quincy, Adams, Illinois, United States	Quincy, Illinois	United States	Illinois	Adams	Quincy		Quincy, Adams, Illinois, United States	United States	Illinois	Adams	Quincy		['19th Century', 'Mass Excommunications at Quincy, Illinois Church Conference']							
John Corrill	male	https://en.wikipedia.org/wiki/John_Corrill			17 Sep 1794	17 Sep 1794	17 Sep 1794	1794.0	Sep	17.0	26 Sep 1842	26 Sep 1842	26 Sep 1842	1842.0	Sep	26.0	17 Mar 1839	17 Mar 1839	17 Mar 1839	1839	Mar	17.0	Early Mormon leader, Missouri legislator involved with handing Joseph Smith over to the Missourians	Early Mormon leader, Missouri legislator involved with handing Joseph Smith over to the Missourians		excommunicated	excommunicated			Excommunicated by a conference of the church. He also testified against Joseph Smith and the Mormons in court.	[Excommunicated by a conference of the church](https://archive.org/details/HistoryOfTheChurchhcVolumes1-7original1902EditionPdf/page/n667). He also testified against Joseph Smith and the Mormons in court.					Quincy, Adams, Illinois, United States	Quincy, Adams, Illinois, United States	Quincy, Illinois	United States	Illinois	Adams	Quincy		Quincy, Adams, Illinois, United States	United States	Illinois	Adams	Quincy		['19th Century', 'Mass Excommunications at Quincy, Illinois Church Conference']							
Reed Peck	male				1814	1814	1814	1814.0			23 Aug 1894	23 Aug 1894	23 Aug 1894	1894.0	Aug	23.0	17 Mar 1839	17 Mar 1839	17 Mar 1839	1839	Mar	17.0	Attempted peaceful resolution of Mormon War	Attempted peaceful resolution of Mormon War		excommunicated	excommunicated			Excommunicated by a conference of the church, not long after his disaffection from the church and testifying against Joseph Smith in court.	[Excommunicated by a conference of the church](https://archive.org/details/HistoryOfTheChurchhcVolumes1-7original1902EditionPdf/page/n667), not long after [his disaffection from the church and testifying against Joseph Smith in court](https://www.josephsmithpapers.org/person/reed-peck).					Quincy, Adams, Illinois, United States	Quincy, Adams, Illinois, United States	Quincy, Illinois	United States	Illinois	Adams	Quincy		Quincy, Adams, Illinois, United States	United States	Illinois	Adams	Quincy		['19th Century', 'Mass Excommunications at Quincy, Illinois Church Conference']							
W. W. Phelps	male	https://en.wikipedia.org/wiki/W._W._Phelps_(Mormon)			17 Feb 1792	17 Feb 1792	17 Feb 1792	1792.0	Feb	17.0	7 Mar 1872	7 Mar 1872	7 Mar 1872	1872.0	Mar	7.0	17 Mar 1839	17 Mar 1839	17 Mar 1839	1839	Mar	17.0	Printer and hymnist	Printer and hymnist		excommunicated	excommunicated			Excommunicated by a conference of the church, possibly for testifying against Joseph Smith in court, helping put him in Liberty Jail.	[Excommunicated by a conference of the church](https://archive.org/details/HistoryOfTheChurchhcVolumes1-7original1902EditionPdf/page/n667), possibly for testifying against Joseph Smith in court, helping put him in Liberty Jail.					Quincy, Adams, Illinois, United States	Quincy, Adams, Illinois, United States	Quincy, Illinois	United States	Illinois	Adams	Quincy		Quincy, Adams, Illinois, United States	United States	Illinois	Adams	Quincy		['19th Century', 'Mass Excommunications at Quincy, Illinois Church Conference']							
Thomas B. Marsh	male	https://en.wikipedia.org/wiki/Thomas_B._Marsh			1 Nov 1800	1 Nov 1800	1 Nov 1800	1800.0	Nov	1.0	Jan 1866	Jan 1866	Jan 1866	1866.0	Jan		17 Mar 1839	17 Mar 1839	17 Mar 1839	1839	Mar	17.0	First President of the Quorum of the Twelve Apostles	First President of the Quorum of the Twelve Apostles		excommunicated	excommunicated			Excommunicated by a conference of the church, likely because he drafted and signed an affidavit against Joseph Smith in connection with the Missouri Mormon War, in which he expressed his concerns over the violent tactics of the Mormons. Marsh's move away from the church may have been initiated by a dispute between his wife Elizabeth and Lucinda Harris over a pint of milk skimmings, which the First Presidency supposedly decided in Lucinda's favor; then again, that story may be fabulous. Thomas B. Marsh is known to have made a reconciliation with Lucinda's husband George in 1857; soon thereafter he moved to Utah where he was rebaptized into the church. He lived his days out as a pauper.	[Excommunicated by a conference of the church](https://archive.org/details/HistoryOfTheChurchhcVolumes1-7original1902EditionPdf/page/n667), likely because he drafted and signed an affidavit against Joseph Smith in connection with the Missouri Mormon War, in which he expressed his concerns over the violent tactics of the Mormons. Marsh's move away from the church [may have been initiated](https://juvenileinstructor.org/thomas-b-marshs-reconciliation-with-george-w-harris/) by a dispute between his wife Elizabeth and Lucinda Harris over a pint of milk skimmings, which the First Presidency supposedly decided in Lucinda's favor; then again, that story may be fabulous. Thomas B. Marsh is known to have made a reconciliation with Lucinda's husband George in 1857; soon thereafter he moved to Utah where he was rebaptized into the church. He lived his days out as a pauper.					Quincy, Adams, Illinois, United States	Quincy, Adams, Illinois, United States	Quincy, Illinois	United States	Illinois	Adams	Quincy		Quincy, Adams, Illinois, United States	United States	Illinois	Adams	Quincy		['19th Century', 'Mass Excommunications at Quincy, Illinois Church Conference']							
Burr Riggs	male		https://www.josephsmithpapers.org/person/burr-riggs		17 Apr 1811	17 Apr 1811	17 Apr 1811	1811.0	Apr	17.0	1860	1860	1860	1860.0			17 Mar 1839	17 Mar 1839	17 Mar 1839	1839	Mar	17.0	Zelph Co-discoverer	Zelph Co-discoverer		excommunicated	excommunicated			Excommunicated by a conference of the church, but later reinstated. He had previously been excommunicated, in 1833.	[Excommunicated by a conference of the church](https://archive.org/details/HistoryOfTheChurchhcVolumes1-7original1902EditionPdf/page/n667), but [later reinstated](https://www.josephsmithpapers.org/person/burr-riggs). He had previously been excommunicated, in 1833.					Quincy, Adams, Illinois, United States	Quincy, Adams, Illinois, United States	Quincy, Illinois	United States	Illinois	Adams	Quincy		Quincy, Adams, Illinois, United States	United States	Illinois	Adams	Quincy		['19th Century', 'Mass Excommunications at Quincy, Illinois Church Conference']							
Frederick G. Williams	male	https://en.wikipedia.org/wiki/Frederick_G._Williams	https://www.josephsmithpapers.org/person/frederick-granger-williams		28 Oct 1787	28 Oct 1787	28 Oct 1787	1787.0	Oct	28.0	10 Oct 1842	10 Oct 1842	10 Oct 1842	1842.0	Oct	10.0	17 Mar 1839	[17 Mar 1839](https://www.josephsmithpapers.org/person/frederick-granger-williams)	17 Mar 1839	1839	Mar	17.0	physician, publisher, first presidency member	physician, publisher, first presidency member		excommunicated	excommunicated			"Excommunicated. ""Restored to fellowship"" Apr 1840."	"[Excommunicated](https://www.josephsmithpapers.org/person/frederick-granger-williams). ""Restored to fellowship"" Apr 1840."					Quincy, Adams, Illinois, United States	Quincy, Adams, Illinois, United States	Quincy, Illinois	United States	Illinois	Adams	Quincy		Quincy, Adams, Illinois, United States	United States	Illinois	Adams	Quincy								5 Aug 1838	[5 Aug 1838](https://www.josephsmithpapers.org/paper-summary/journal-march-september-1838/49)
Isaac Russell	male	https://en.wikipedia.org/wiki/Isaac_Russell			13 Apr 1807	13 Apr 1807	13 Apr 1807	1807.0	Apr	13.0	25 Sep 1844	25 Sep 1844	25 Sep 1844	1844.0	Sep	25.0	26 Apr 1839	26 Apr 1839	26 Apr 1839	1839	Apr	26.0	Unapproved revelator	Unapproved revelator		excommunicated	excommunicated			"Excommunicated for attempting to lead his converts from Alston, England on an unauthorized mission to the Lamanites on the basis of revelation he claimed to have received. According to the official History of the Church, ""Mr. Bishop was tried by the High Council, his papers examined, condemned and burned, and he cut off the Church. He acknowledged the justice of the decision, and said 'that he now saw his error, for if he had been governed by the revelations given before, he might have known that no man was to write revelations for the Church, but Joseph Smith,' and begged to be prayed for, and forgiven by the brethren."" He does not appear to have rejoined the church, and died in 1844 of ""swamp fever""."	"[Excommunicated](http://emp.byui.edu/satterfieldb/rel341/Mission%20to%20England%20Meeting%20April%2026.html) for [attempting to lead his converts from Alston, England on an unauthorized mission to the Lamanites](https://rsc.byu.edu/archived/regional-studies-latter-day-saint-church-history-british-isles/remembering-impact-british) on the basis of revelation he claimed to have received. According to the official History of the Church, ""[Mr. Bishop was tried by the High Council, his papers examined, condemned and burned, and he cut off the Church](https://byustudies.byu.edu/content/volume-4-chapter-33). He acknowledged the justice of the decision, and said 'that he now saw his error, for if he had been governed by the revelations given before, he might have known that no man was to write revelations for the Church, but Joseph Smith,' and begged to be prayed for, and forgiven by the brethren."" He does not appear to have rejoined the church, and died in 1844 of ""swamp fever""."					Far West, Caldwell, Missouri, United States	Far West, Caldwell, Missouri, United States	Far West, Missouri	United States	Missouri	Caldwell	Far West		Far West, Caldwell, Missouri, United States	United States	Missouri	Caldwell	Far West		['19th Century', 'The Followers of Isaac Russell']							
